Training with hyperparameters: p_pddm=3.2e+02, r_mid_point_mini=1e+03
Training data: /Users/zhizhonglin/Desktop/causal_inference/deepLearning/WTEDVAE/ACIC/ACIC_1_10_setting_6_train.npz
Test data:     /Users/zhizhonglin/Desktop/causal_inference/deepLearning/WTEDVAE/ACIC/ACIC_1_10_setting_6_test.npz
Loaded data with shape [3601,82]
Defining graph...

Training on experiment 1/10...
1000	Obj: 6227.108,	F: 5.386,	Cf: 5.287,	PDDM: 20,	mid_p: 0.00019,	Val: 5.546,	ValObj: 4748.19
1100	Obj: 9149.404,	F: 5.372,	Cf: 5.461,	PDDM: 29,	mid_p: 0.00018,	Val: 5.528,	ValObj: 6262.36
1200	Obj: 7987.479,	F: 5.381,	Cf: 5.308,	PDDM: 25,	mid_p: 0.00018,	Val: 5.524,	ValObj: 4124.42
1300	Obj: 9025.886,	F: 5.373,	Cf: 5.323,	PDDM: 28,	mid_p: 0.00018,	Val: 5.530,	ValObj: 2714.80
1400	Obj: 4834.168,	F: 5.371,	Cf: 5.441,	PDDM: 15,	mid_p: 0.00018,	Val: 5.520,	ValObj: 7714.95
1500	Obj: 5690.196,	F: 5.383,	Cf: 5.279,	PDDM: 18,	mid_p: 0.00018,	Val: 5.537,	ValObj: 6417.33
1600	Obj: 7316.005,	F: 5.374,	Cf: 5.423,	PDDM: 23,	mid_p: 0.00018,	Val: 5.518,	ValObj: 5316.53
1700	Obj: 4938.197,	F: 5.371,	Cf: 5.360,	PDDM: 16,	mid_p: 0.00018,	Val: 5.530,	ValObj: 6921.71
1800	Obj: 6491.152,	F: 5.371,	Cf: 5.441,	PDDM: 20,	mid_p: 0.00018,	Val: 5.526,	ValObj: 6372.58
1900	Obj: 5492.889,	F: 5.376,	Cf: 5.306,	PDDM: 17,	mid_p: 0.00018,	Val: 5.534,	ValObj: 5810.28
1999	Obj: 3805.767,	F: 5.369,	Cf: 5.367,	PDDM: 12,	mid_p: 0.00018,	Val: 5.523,	ValObj: 8650.56
Saving result to results/ihdpresults_20211208_152220-189109/...

Training on experiment 5/10...
0	Obj: 76327.906,	F: 6.421,	Cf: 7.163,	PDDM: 2.4e+02,	mid_p: 0.015,	Val: 6.122,	ValObj: 72302.28
100	Obj: 5014.774,	F: 4.920,	Cf: 5.044,	PDDM: 16,	mid_p: 0.00039,	Val: 4.431,	ValObj: 4707.94
200	Obj: 4886.041,	F: 4.973,	Cf: 5.067,	PDDM: 15,	mid_p: 0.0034,	Val: 4.469,	ValObj: 4278.18
300	Obj: 5115.677,	F: 4.937,	Cf: 5.073,	PDDM: 16,	mid_p: 0.0008,	Val: 4.455,	ValObj: 4767.97
400	Obj: 8948.491,	F: 4.942,	Cf: 5.036,	PDDM: 28,	mid_p: 0.00043,	Val: 4.444,	ValObj: 8889.98
500	Obj: 4347.321,	F: 4.937,	Cf: 5.049,	PDDM: 14,	mid_p: 0.00013,	Val: 4.457,	ValObj: 4138.34
600	Obj: 4661.710,	F: 4.959,	Cf: 5.109,	PDDM: 15,	mid_p: 0.00011,	Val: 4.498,	ValObj: 4523.61
700	Obj: 6305.511,	F: 4.935,	Cf: 5.062,	PDDM: 20,	mid_p: 0.0001,	Val: 4.441,	ValObj: 6051.81
800	Obj: 6334.370,	F: 4.935,	Cf: 5.047,	PDDM: 20,	mid_p: 8.8e-05,	Val: 4.459,	ValObj: 5968.66
900	Obj: 5162.002,	F: 4.932,	Cf: 5.068,	PDDM: 16,	mid_p: 3.5e-05,	Val: 4.456,	ValObj: 4946.91
1000	Obj: 5405.535,	F: 4.932,	Cf: 5.063,	PDDM: 17,	mid_p: 3.1e-05,	Val: 4.455,	ValObj: 5292.60
1100	Obj: 4423.347,	F: 4.930,	Cf: 5.069,	PDDM: 14,	mid_p: 3.8e-05,	Val: 4.444,	ValObj: 4234.46
1200	Obj: 2835.397,	F: 4.931,	Cf: 5.052,	PDDM: 8.9,	mid_p: 3.8e-05,	Val: 4.437,	ValObj: 2589.71
1300	Obj: 5395.513,	F: 4.930,	Cf: 5.068,	PDDM: 17,	mid_p: 3.8e-05,	Val: 4.443,	ValObj: 4943.33
1400	Obj: 4614.387,	F: 4.931,	Cf: 5.049,	PDDM: 15,	mid_p: 3.8e-05,	Val: 4.437,	ValObj: 4388.54
1500	Obj: 5378.327,	F: 4.930,	Cf: 5.071,	PDDM: 17,	mid_p: 3.7e-05,	Val: 4.445,	ValObj: 5234.81
1600	Obj: 9946.766,	F: 4.931,	Cf: 5.081,	PDDM: 31,	mid_p: 3.7e-05,	Val: 4.447,	ValObj: 9108.78
1700	Obj: 5298.646,	F: 4.930,	Cf: 5.073,	PDDM: 17,	mid_p: 3.6e-05,	Val: 4.446,	ValObj: 5044.95
1800	Obj: 5263.126,	F: 4.931,	Cf: 5.064,	PDDM: 17,	mid_p: 3.4e-05,	Val: 4.450,	ValObj: 5063.95
1900	Obj: 5293.712,	F: 4.932,	Cf: 5.075,	PDDM: 17,	mid_p: 3.3e-05,	Val: 4.455,	ValObj: 4683.81
1999	Obj: 6659.304,	F: 4.929,	Cf: 5.057,	PDDM: 21,	mid_p: 3.2e-05,	Val: 4.446,	ValObj: 5968.94
Saving result to results/ihdpresults_20211208_152220-189109/...

Training on experiment 6/10...
0	Obj: 52686.621,	F: 6.355,	Cf: 5.719,	PDDM: 1.7e+02,	mid_p: 0.011,	Val: 8.835,	ValObj: 73911.95
100	Obj: 6259.901,	F: 4.417,	Cf: 4.724,	PDDM: 20,	mid_p: 0.00022,	Val: 7.469,	ValObj: 7908.62
200	Obj: 10077.593,	F: 4.249,	Cf: 4.079,	PDDM: 32,	mid_p: 0.00025,	Val: 7.385,	ValObj: 4347.42
300	Obj: 7496.594,	F: 4.240,	Cf: 4.109,	PDDM: 24,	mid_p: 0.00058,	Val: 7.381,	ValObj: 5922.59
400	Obj: 9170.222,	F: 4.225,	Cf: 4.082,	PDDM: 29,	mid_p: 0.0001,	Val: 7.382,	ValObj: 5549.14
500	Obj: 9138.620,	F: 4.216,	Cf: 4.097,	PDDM: 29,	mid_p: 6.7e-05,	Val: 7.379,	ValObj: 3875.94
600	Obj: 8323.894,	F: 4.240,	Cf: 4.140,	PDDM: 26,	mid_p: 3.3e-05,	Val: 7.387,	ValObj: 5641.05
700	Obj: 5934.938,	F: 4.185,	Cf: 4.091,	PDDM: 19,	mid_p: 2.8e-05,	Val: 7.379,	ValObj: 7326.84
800	Obj: 9117.063,	F: 4.168,	Cf: 4.190,	PDDM: 29,	mid_p: 2.2e-05,	Val: 7.371,	ValObj: 4714.43
900	Obj: 8786.951,	F: 4.114,	Cf: 4.110,	PDDM: 28,	mid_p: 1.6e-05,	Val: 7.364,	ValObj: 8522.45
1000	Obj: 7914.878,	F: 4.099,	Cf: 4.118,	PDDM: 25,	mid_p: 1.6e-05,	Val: 7.374,	ValObj: 5863.80
1100	Obj: 5286.127,	F: 4.051,	Cf: 4.107,	PDDM: 17,	mid_p: 1.6e-05,	Val: 7.375,	ValObj: 8245.77
1200	Obj: 5642.124,	F: 4.138,	Cf: 4.237,	PDDM: 18,	mid_p: 1.4e-05,	Val: 7.402,	ValObj: 9426.87
1300	Obj: 11712.968,	F: 4.051,	Cf: 4.093,	PDDM: 37,	mid_p: 1.3e-05,	Val: 7.365,	ValObj: 2840.06
1400	Obj: 6142.469,	F: 4.065,	Cf: 4.134,	PDDM: 19,	mid_p: 1.2e-05,	Val: 7.400,	ValObj: 6059.88
1500	Obj: 7046.746,	F: 4.059,	Cf: 4.142,	PDDM: 22,	mid_p: 1.2e-05,	Val: 7.383,	ValObj: 5310.02
1600	Obj: 6469.240,	F: 4.033,	Cf: 4.094,	PDDM: 20,	mid_p: 1.1e-05,	Val: 7.365,	ValObj: 7152.49
1700	Obj: 8423.817,	F: 4.032,	Cf: 4.152,	PDDM: 27,	mid_p: 9.5e-06,	Val: 7.358,	ValObj: 4828.35
